Name,Type,Population,Class,CountySeat
Lake Winnebago,city,1433,city fourth class,Cass
Lakeshire,city,1554,city fourth class,St. Louis
Lakeside,city,0,city fourth class,Miller
Lamar,city,4266,city fourth class,Barton
Lamar Heights,city,170,city fourth class,Barton
Lambert,city,48,NA,Scott
Lanagan,city,373,city fourth class,McDonald
Lancaster,city,675,city fourth class,Schuyler
Laredo,city,156,city fourth class,Grundy
Latham,city,69,census designated place,Moniteau
Lathrop,city,2271,city fourth class,Clinton
Laurie,city,939,city fourth class,"Camden, Morgan"
Lawrence,county,38001,county third class without township,Mt. Vernon
Lawson,city,2541,city fourth class,"Clay, Ray"
Leadington,city,764,city fourth class,St. Francois
Leadwood,city,1178,city fourth class,St. Francois
Leasburg,city,326,village,Crawford
Leawood,city,620,village,Newton
Lebanon,city,15013,city third class,Laclede
Lee s Summit,city,101108,city home rule,"Cass, Jackson"
Leeton,city,532,city fourth class,Johnson
Leisure Lake,city,166,census designated place,Grundy
Lemay,city,17117,census designated place,St. Louis
Leonard,city,57,village,Shelby
Leslie,city,136,village,Franklin
Levasy,city,77,city fourth class,Jackson
Lewis,county,10032,county third class without township,Monticello
Lewis and Clark,city,96,village,Buchanan
Lewistown,city,521,city fourth class,Lewis
Lexington,city,4652,city third class,Lafayette
Liberal,city,629,city fourth class,Barton
Liberty,city,30167,city special charter,Clay
Licking,city,2851,city fourth class,Texas
Lilbourn,city,994,city fourth class,New Madrid
Lincoln,city,1144,city fourth class,Benton
Lincoln,county,59574,county second class,Troy
Linn,city,1350,city fourth class,Osage
Linn,county,11874,county third class with township,Linneus
Linn Creek,city,216,city fourth class,Camden
Linneus,city,281,city fourth class,Linn
Lithium,city,92,census designated place,Perry
Livingston,county,14557,county third class with township,Chillicothe
Livonia,city,52,village,Putnam
Loch Lloyd,city,863,village,Cass
Lock Springs,city,40,village,Daviess
Lockwood,city,846,city fourth class,Dade
Lohman,city,175,city fourth class,Cole
Loma Linda,city,943,village,Newton
Lone Jack,city,1492,city fourth class,Jackson
Longtown,city,90,village,Perry
Louisburg,city,134,village,Dallas
Louisiana,city,3199,city third class,Pike
Lowry City,city,613,city fourth class,St. Clair
Lucerne,city,57,village,Putnam
Ludlow,city,111,village,Livingston
Lupus,city,28,city fourth class,Moniteau
Luray,city,73,village,Clark
Macks Creek,city,365,census designated place,Camden
Macon,city,5457,city third class,Macon
Macon,county,15209,county third class without township,Macon
Madison,city,515,city fourth class,Monroe
Madison,county,12626,county third class without township,Fredericktown
Maitland,city,276,city fourth class,Holt
Malden,city,3706,city third class,Dunklin
Malta Bend,city,187,city fourth class,Saline
Manchester,city,18333,city fourth class,St. Louis
Mansfield,city,1193,city fourth class,Wright
Maplewood,city,8269,city home rule,St. Louis
